StudentID,StudentName,AdmissionNumber,Class,Section,LoginID,Password,Gender,LastActionTaken,AppVersion
John 1 A. Doe,ADM001,Grade 1,Section A,AntDoe3210,iGuru@1234,Male,2025-03-01T12:00:00,1.0.0
John A. Doe,ADM001,Grade 1,Section A,,,Male,2025-03-01T12:05:00,1.0.1
Emma C. Jones,ADM003,Grade 1,Section A,,,Female,,
John A. Doe,ADM001,Grade 1,Section A,,,Male,,
Emma C. Jones,ADM003,Grade 1,Section A,,,Female,,
Ethan E. Brown,ADM005,Grade 1,Section A,,,Male,,
Ava G. Davis,ADM007,Grade 1,Section A,,,Female,,
Isabella I. Malik,ADM009,Grade 1,Section A,,,Female,,
Ethan E. Brown,ADM005,Grade 1,Section A,,,Male,,
Ava G. Davis,ADM007,Grade 1,Section A,,,Female,,
Isabella I. Malik,ADM009,Grade 1,Section A,,,Female,,
