StudentName,AdmissionNumber,Class,Section,PrimaryMobileNo,LoginID,Password
John A. Doe,ADM001,Grade 1,Section A,9876543210,,
Emma C. Jones,ADM003,Grade 1,Section A,9876543230,,
John A. Doe,ADM001,Grade 1,Section A,9876543210,,
Emma C. Jones,ADM003,Grade 1,Section A,9876543230,,
Ethan E. Brown,ADM005,Grade 1,Section A,9876543250,,
Ava G. Davis,ADM007,Grade 1,Section A,9876543270,,
Isabella I. Malik,ADM009,Grade 1,Section A,9876543290,,
Ethan E. Brown,ADM005,Grade 1,Section A,9876543250,,
Ava G. Davis,ADM007,Grade 1,Section A,9876543270,,
Isabella I. Malik,ADM009,Grade 1,Section A,9876543290,,
